特征个数：1  特征名称：185
特征个数：2  特征名称：569
特征个数：3  特征名称：568
特征个数：4  特征名称：171
特征个数：5  特征名称：151
特征个数：6  特征名称：448
特征个数：7  特征名称：167
特征个数：8  特征名称：159
特征个数：9  特征名称：442
特征个数：10  特征名称：36
特征个数：11  特征名称：520
特征个数：12  特征名称：526
特征个数：13  特征名称：517
特征个数：14  特征名称：415
特征个数：15  特征名称：580
特征个数：16  特征名称：215
特征个数：17  特征名称：493
特征个数：18  特征名称：419
特征个数：19  特征名称：494
特征个数：20  特征名称：408
特征个数：21  特征名称：222
特征个数：22  特征名称：445
特征个数：23  特征名称：446
特征个数：24  特征名称：518
特征个数：25  特征名称：246
特征个数：26  特征名称：309
特征个数：27  特征名称：492
特征个数：28  特征名称：238
特征个数：29  特征名称：208
特征个数：30  特征名称：539
特征个数：31  特征名称：479
特征个数：32  特征名称：384
特征个数：33  特征名称：441
特征个数：34  特征名称：154
特征个数：35  特征名称：377
特征个数：36  特征名称：360
特征个数：37  特征名称：420
特征个数：38  特征名称：414
特征个数：39  特征名称：342
特征个数：40  特征名称：369
特征个数：41  特征名称：364
特征个数：42  特征名称：400
特征个数：43  特征名称：422
特征个数：44  特征名称：347
特征个数：45  特征名称：399
特征个数：46  特征名称：371
特征个数：47  特征名称：284
特征个数：48  特征名称：276
特征个数：49  特征名称：506
特征个数：50  特征名称：461
特征个数：51  特征名称：358
特征个数：52  特征名称：372
特征个数：53  特征名称：375
特征个数：54  特征名称：374
特征个数：55  特征名称：447
特征个数：56  特征名称：449
特征个数：57  特征名称：450
特征个数：58  特征名称：451
特征个数：59  特征名称：396
特征个数：60  特征名称：395
特征个数：61  特征名称：373
特征个数：62  特征名称：292
特征个数：63  特征名称：330
特征个数：64  特征名称：398
特征个数：65  特征名称：370
特征个数：66  特征名称：404
特征个数：67  特征名称：401
特征个数：68  特征名称：242
特征个数：69  特征名称：329
特征个数：70  特征名称：241
特征个数：71  特征名称：237
特征个数：72  特征名称：387
特征个数：73  特征名称：463
特征个数：74  特征名称：464
特征个数：75  特征名称：465
特征个数：76  特征名称：466
特征个数：77  特征名称：266
特征个数：78  特征名称：265
特征个数：79  特征名称：462
特征个数：80  特征名称：263
特征个数：81  特征名称：262
特征个数：82  特征名称：261
特征个数：83  特征名称：260
特征个数：84  特征名称：259
特征个数：85  特征名称：258
特征个数：86  特征名称：257
特征个数：87  特征名称：478
特征个数：88  特征名称：240
特征个数：89  特征名称：264
特征个数：90  特征名称：249
特征个数：91  特征名称：397
特征个数：92  特征名称：236
特征个数：93  特征名称：235
特征个数：94  特征名称：403
特征个数：95  特征名称：233
特征个数：96  特征名称：498
特征个数：97  特征名称：481
特征个数：98  特征名称：232
特征个数：99  特征名称：501
特征个数：100  特征名称：502
特征个数：101  特征名称：503
特征个数：102  特征名称：504
特征个数：103  特征名称：505
特征个数：104  特征名称：243
特征个数：105  特征名称：231
特征个数：106  特征名称：313
特征个数：107  特征名称：315
特征个数：108  特征名称：314
特征个数：109  特征名称：13
特征个数：110  特征名称：5
特征个数：111  特征名称：226
特征个数：112  特征名称：515
特征个数：113  特征名称：514
特征个数：114  特征名称：513
特征个数：115  特征名称：382
特征个数：116  特征名称：512
特征个数：117  特征名称：230
特征个数：118  特征名称：42
特征个数：119  特征名称：533
特征个数：120  特征名称：534
特征个数：121  特征名称：535
特征个数：122  特征名称：158
特征个数：123  特征名称：229
特征个数：124  特征名称：380
特征个数：125  特征名称：521
特征个数：126  特征名称：532
特征个数：127  特征名称：576
特征个数：128  特征名称：530
特征个数：129  特征名称：529
特征个数：130  特征名称：220
特征个数：131  特征名称：528
特征个数：132  特征名称：206
特征个数：133  特征名称：389
特征个数：134  特征名称：531
特征个数：135  特征名称：74
特征个数：136  特征名称：209
特征个数：137  特征名称：69
特征个数：138  特征名称：52
特征个数：139  特征名称：379
特征个数：140  特征名称：49
特征个数：141  特征名称：85
特征个数：142  特征名称：440
特征个数：143  特征名称：149
特征个数：144  特征名称：378
特征个数：145  特征名称：94
特征个数：146  特征名称：538
特征个数：147  特征名称：537
特征个数：148  特征名称：536
特征个数：149  特征名称：509
特征个数：150  特征名称：402
特征个数：151  特征名称：540
特征个数：152  特征名称：507
特征个数：153  特征名称：328
特征个数：154  特征名称：327
特征个数：155  特征名称：326
特征个数：156  特征名称：325
特征个数：157  特征名称：322
特征个数：158  特征名称：256
特征个数：159  特征名称：458
特征个数：160  特征名称：174
特征个数：161  特征名称：194
特征个数：162  特征名称：192
特征个数：163  特征名称：141
特征个数：164  特征名称：178
特征个数：165  特征名称：179
特征个数：166  特征名称：508
特征个数：167  特征名称：114
特征个数：168  特征名称：381
特征个数：169  特征名称：193
特征个数：170  特征名称：186
特征个数：171  特征名称：101
特征个数：172  特征名称：394
特征个数：173  特征名称：189
特征个数：174  特征名称：190
特征个数：175  特征名称：191
特征个数：176  特征名称：97
特征个数：177  特征名称：104
特征个数：178  特征名称：234
