count:1  single_unique_feature:5
count:2  single_unique_feature:13
count:3  single_unique_feature:42
count:4  single_unique_feature:49
count:5  single_unique_feature:52
count:6  single_unique_feature:69
count:7  single_unique_feature:97
count:8  single_unique_feature:141
count:9  single_unique_feature:149
count:10  single_unique_feature:178
count:11  single_unique_feature:179
count:12  single_unique_feature:186
count:13  single_unique_feature:189
count:14  single_unique_feature:190
count:15  single_unique_feature:191
count:16  single_unique_feature:192
count:17  single_unique_feature:193
count:18  single_unique_feature:194
count:19  single_unique_feature:226
count:20  single_unique_feature:229
count:21  single_unique_feature:230
count:22  single_unique_feature:231
count:23  single_unique_feature:232
count:24  single_unique_feature:233
count:25  single_unique_feature:234
count:26  single_unique_feature:235
count:27  single_unique_feature:236
count:28  single_unique_feature:237
count:29  single_unique_feature:240
count:30  single_unique_feature:241
count:31  single_unique_feature:242
count:32  single_unique_feature:243
count:33  single_unique_feature:256
count:34  single_unique_feature:257
count:35  single_unique_feature:258
count:36  single_unique_feature:259
count:37  single_unique_feature:260
count:38  single_unique_feature:261
count:39  single_unique_feature:262
count:40  single_unique_feature:263
count:41  single_unique_feature:264
count:42  single_unique_feature:265
count:43  single_unique_feature:266
count:44  single_unique_feature:276
count:45  single_unique_feature:284
count:46  single_unique_feature:313
count:47  single_unique_feature:314
count:48  single_unique_feature:315
count:49  single_unique_feature:322
count:50  single_unique_feature:325
count:51  single_unique_feature:326
count:52  single_unique_feature:327
count:53  single_unique_feature:328
count:54  single_unique_feature:329
count:55  single_unique_feature:330
count:56  single_unique_feature:364
count:57  single_unique_feature:369
count:58  single_unique_feature:370
count:59  single_unique_feature:371
count:60  single_unique_feature:372
count:61  single_unique_feature:373
count:62  single_unique_feature:374
count:63  single_unique_feature:375
count:64  single_unique_feature:378
count:65  single_unique_feature:379
count:66  single_unique_feature:380
count:67  single_unique_feature:381
count:68  single_unique_feature:394
count:69  single_unique_feature:395
count:70  single_unique_feature:396
count:71  single_unique_feature:397
count:72  single_unique_feature:398
count:73  single_unique_feature:399
count:74  single_unique_feature:400
count:75  single_unique_feature:401
count:76  single_unique_feature:402
count:77  single_unique_feature:403
count:78  single_unique_feature:404
count:79  single_unique_feature:414
count:80  single_unique_feature:422
count:81  single_unique_feature:449
count:82  single_unique_feature:450
count:83  single_unique_feature:451
count:84  single_unique_feature:458
count:85  single_unique_feature:461
count:86  single_unique_feature:462
count:87  single_unique_feature:463
count:88  single_unique_feature:464
count:89  single_unique_feature:465
count:90  single_unique_feature:466
count:91  single_unique_feature:481
count:92  single_unique_feature:498
count:93  single_unique_feature:501
count:94  single_unique_feature:502
count:95  single_unique_feature:503
count:96  single_unique_feature:504
count:97  single_unique_feature:505
count:98  single_unique_feature:506
count:99  single_unique_feature:507
count:100  single_unique_feature:508
count:101  single_unique_feature:509
count:102  single_unique_feature:512
count:103  single_unique_feature:513
count:104  single_unique_feature:514
count:105  single_unique_feature:515
count:106  single_unique_feature:528
count:107  single_unique_feature:529
count:108  single_unique_feature:530
count:109  single_unique_feature:531
count:110  single_unique_feature:532
count:111  single_unique_feature:533
count:112  single_unique_feature:534
count:113  single_unique_feature:535
count:114  single_unique_feature:536
count:115  single_unique_feature:537
count:116  single_unique_feature:538
